unit,time,y,w
1,1,0.4595645778794202,0
1,2,0.4729845376994728,0
1,3,0.46506122443466147,0
1,4,0.4204622787128862,0
1,5,0.4706669025523551,0
1,6,0.532110708833236,0
1,7,0.5217636587518797,0
1,8,0.5329928608062255,0
1,9,0.5635335135109614,0
1,10,0.6252323362663734,0
1,11,0.6389126238402483,0
1,12,0.6563123405167746,0
1,13,0.6593589970651319,0
1,14,0.6758256535018834,0
1,15,0.705908482021818,0
1,16,0.687124458451791,0
1,17,0.673871832925169,0
1,18,0.7133498601304469,0
1,19,0.6733307118941045,0
1,20,0.718011870026567,0
1,21,0.717440459287813,0
1,22,0.6574866755160311,0
1,23,0.6172123305446604,0
1,24,0.6378894192611657,0
1,25,0.6413902971076935,0
1,26,0.5675494722253767,0
1,27,0.6128089613850731,0
1,28,0.6211697376552543,0
1,29,0.5920240955270346,0
1,30,0.5184507327875343,0
1,31,0.4950025432880949,0
1,32,0.5672523284001807,0
1,33,0.6382785827292023,0
1,34,0.6780490617636517,0
1,35,0.7148771742777633,0
1,36,0.6799664769630231,0
1,37,0.71513260344872,0
1,38,0.7710602703464371,0
1,39,0.7933673201997244,0
1,40,0.7549408950077829,0
1,41,0.7389026651994053,0
1,42,0.6915368702386626,0
1,43,0.584975552202537,0
1,44,0.6470534192666193,0
1,45,0.7107369025372003,0
1,46,0.7731972825722195,0
1,47,0.8295734522528768,0
1,48,0.893544273333994,0
2,1,0.9456381885575933,0
2,2,0.9379495337048613,0
2,3,0.9738106022329127,0
2,4,1.0128987155207305,0
2,5,1.0481317167063846,0
2,6,1.0502759203440313,0
2,7,1.0850852921612582,0
2,8,1.1117439282110055,0
2,9,1.1539442645176052,0
2,10,1.1941626221556998,0
2,11,1.2080401913697614,0
2,12,1.2246869559636036,0
2,13,1.2327047265579214,0
2,14,1.2546403537830457,0
2,15,1.2549015284676432,0
2,16,1.2660573131973294,0
2,17,1.2860300720302504,0
2,18,1.2841324011749258,0
2,19,1.3083112968499098,0
2,20,1.3240404292822436,0
2,21,1.3416878638486462,0
2,22,1.358417993425121,0
2,23,1.3279519324721853,0
2,24,1.3540685106248809,0
2,25,1.3845861130759793,0
2,26,1.4040043344346227,0
2,27,1.4107890884445666,0
2,28,1.4424592049121472,0
2,29,1.4611964344981523,0
2,30,1.4820627064360163,0
2,31,1.4686179826742727,0
2,32,1.4599704899672616,0
2,33,1.483740966543749,0
2,34,1.5074451856247624,0
2,35,1.5290780597326386,0
2,36,1.5525926439277615,0
2,37,1.5763351941340318,0
2,38,1.60506280880983,0
2,39,1.6373643467421264,1
2,40,1.6610176511542658,1
2,41,1.66818956510574,1
2,42,1.6923562060654422,1
2,43,1.7081605154596442,1
2,44,1.7316809295356368,1
2,45,1.7474573924723575,1
2,46,1.7588282374931108,1
2,47,1.7762528619641493,1
2,48,1.7913844255573803,1
3,1,0.6371852403349774,0
3,2,0.6755593309269372,0
3,3,0.6870011361449961,0
3,4,0.7177986887343675,0
3,5,0.7618837986684603,0
3,6,0.7783950710156091,0
3,7,0.8182413807503703,0
3,8,0.8389137801980109,0
3,9,0.8702680594290584,0
3,10,0.919759981455055,0
3,11,0.9745646231339009,0
3,12,1.012791754536238,0
3,13,1.0601227950804617,0
3,14,1.0974831165271155,0
3,15,1.127941665188061,0
3,16,1.1236117098929768,0
3,17,1.161003517188556,0
3,18,1.2032254538792486,0
3,19,1.2024219936102014,0
3,20,1.2474917325345203,0
3,21,1.262859828901977,0
3,22,1.2622232795577233,0
3,23,1.279264226872284,0
3,24,1.303853743142227,0
3,25,1.3038213147813718,0
3,26,1.3237823396673356,0
3,27,1.3417943173227247,0
3,28,1.3516141487354343,0
3,29,1.3767962828765494,0
3,30,1.4058893584284569,0
3,31,1.4376522435122894,0
3,32,1.460867186076257,0
3,33,1.4720384739743082,0
3,34,1.4699108296074286,0
3,35,1.4840502536779834,0
3,36,1.5017024958085141,0
3,37,1.5183538998992034,0
3,38,1.534239795597605,0
3,39,1.5630386880438785,1
3,40,1.5914363172300714,1
3,41,1.6175177057373116,1
3,42,1.6251617517268588,1
3,43,1.6351598649799577,1
3,44,1.6387748486953946,1
3,45,1.657305424021267,1
3,46,1.6722384308229294,1
3,47,1.6976891378705332,1
3,48,1.7257850160600228,1
4,1,-1.7491350864260866,0
4,2,-1.9020075281388245,0
4,3,-1.8530430585060866,0
4,4,-1.8174515327992244,0
4,5,-1.7863393977522062,0
4,6,-1.7681532542479683,0
4,7,-1.7565305431978713,0
4,8,-1.6645684675495849,0
4,9,-1.6847139629101155,0
4,10,-1.7147633929899682,0
4,11,-1.554283374682485,0
4,12,-1.5394001098932275,0
4,13,-1.6006226661216294,0
4,14,-1.5525269554770578,0
4,15,-1.5663957209546986,0
4,16,-1.5784556230816627,0
4,17,-1.5105945321407903,0
4,18,-1.4557648421199394,0
4,19,-1.4358574977537568,0
4,20,-1.4434129984393742,0
4,21,-1.480383491824635,0
4,22,-1.4145942914696965,0
4,23,-1.4399404719474331,0
4,24,-1.436278604957315,0
4,25,-1.4600226645715972,0
4,26,-1.390648855277429,0
4,27,-1.3836992266163683,0
4,28,-1.3749493319637969,0
4,29,-1.3593731555118689,0
4,30,-1.37027872193533,0
4,31,-1.3626255174322974,0
4,32,-1.3383137655234867,0
4,33,-1.3411496661382918,0
4,34,-1.418826538900273,0
4,35,-1.4597402034759668,0
4,36,-1.5339776150815743,0
4,37,-1.6209379998084383,0
4,38,-1.6275902116239829,0
4,39,-1.6007548034290862,0
4,40,-1.621741589184782,0
4,41,-1.6455538119651258,0
4,42,-1.648215995687722,0
4,43,-1.6346694205651415,0
4,44,-1.6708846646503046,0
4,45,-1.663648612311552,0
4,46,-1.683810422124873,0
4,47,-1.6675110398472883,0
4,48,-1.6677258701246647,0
5,1,0.6279977305621447,0
5,2,0.6652834118559969,0
5,3,0.7039947232458363,0
5,4,0.7339690176771096,0
5,5,0.7835464517302455,0
5,6,0.8051405794084179,0
5,7,0.8245006557332246,0
5,8,0.8520020496446818,0
5,9,0.8872121865586315,0
5,10,0.9358570373182271,0
5,11,0.9880515990790109,0
5,12,1.016382003057199,0
5,13,1.0569804720028468,0
5,14,1.104637210739197,0
5,15,1.1370347825049567,0
5,16,1.1236545302768484,0
